timestamp,value,metric,app,instance,job,namespace,pod_template_hash,server_name,world
2025-05-28 10:54:21.460999966,0.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:22.460999966,0.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:23.460999966,0.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:24.460999966,0.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:25.460999966,0.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:26.460999966,0.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:27.460999966,0.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:28.460999966,0.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:29.460999966,0.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:30.460999966,0.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:31.460999966,0.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:32.460999966,0.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:33.460999966,0.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:34.460999966,0.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:35.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:36.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:37.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:38.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:39.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:40.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:41.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:42.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:43.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:44.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:45.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:46.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:47.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:48.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:49.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:50.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:51.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:52.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:53.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:54.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
2025-05-28 10:54:55.460999966,1.0,mc_players_online_local,multipaper-server,10.244.140.144:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-dch9w,world
