timestamp,value,metric,container,id,image,instance,job,name,namespace,pod
2025-06-12 18:45:36.700000048,2768048128.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:45:48.654000044,2784264192.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:46:01.263000010,2957926400.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:46:19.710999966,3011825664.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:46:34.329999924,3079507968.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:46:54.163000107,3122757632.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:47:07.229000092,3131457536.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:47:24.655999899,3152609280.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:47:35.950999975,3155902464.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
2025-06-12 18:47:49.640000105,3158765568.0,container_memory_usage_bytes,multipaper-server,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod827b2aac_5091_43c2_bac9_120682363f55.slice/cri-containerd-29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957.scope,docker.io/itzg/minecraft-server:java17,compute7,kubelet,29c6b6ded1128a778266eac74dd0868c2e847e2ffd0e5f3df158d1779caf6957,multipaper-marina,multipaper-server-5d4c584f66-5ljnl
